source_file,title,authors,year,program,adviser,keywords
factors-affecting-comprehension-bachelor-science-office-2023.pdf,FACTORS AFFECTING THE COMPREHENSION OF BACHELOR OF SCIENCE IN OFFICE ADMINISTRATION STUDENTS IN SHORTHAND AT CAMARINES SUR POLYTECHNIC COLLEGES,"Baesa, Mary Angelica B.; Dacara, April Nicole B.; Jazarino, Bernadette D.",2023,BSOA,"Alyssa D. Lagatic, Mbm",
impact-blended-learning-strategy-learning-experiences-2023.pdf,"IMPACT OF THE BLENDED LEARNING STRATEGY ON THE LEARNING EXPERIENCES AMONG STUDENT NURSES OF CAMARINES SUR POLYTECHNIC COLLEGES, NABUA CAMARINES SUR",Kriz Pauline O. Broqueza; Jillian Franz J. Buenaflor; Alliah Seth G. Israel; Rialyn P. Pontillas,2023,BSN,"Leni M. Malabanan, Ph.D.N.Ed",
competence-level-basic-life-support-bls-2023.pdf,"COMPETENCE LEVEL ON BASIC LIFE SUPPORT (BLS) OF THE FACULTY OF THE COLLEGE OF HEALTH SCIENCES OF CAMARINES SUR POLYTECHNIC COLLEGES, NABUA, CAMARINES SUR",Vina Dominique P. Batacan; Julia Therese P. Blasco; Kirstine Jannyflor L. Reyes; Garry Claire P. Trajano,2023,BSN,,
effect-time-management-study-habits-academic-2023.pdf,THE EFFECT OF TIME MANAGEMENT AND STUDY HABITS ON ACADEMIC PERFORMANCE OF LEVEL III NURSING STUDENTS OF CAMARINES SUR POLYTECHNIC COLLEGES,Aidaline P. Ailes; Rie Nicole R. Roman; Alonah Ednajhen M. Rivera,2023,BSN,,
rhetorical-analysis-inaugural-addresses-selected-philippine-2024.pdf,RHETORICAL ANALYSIS OF INAUGURAL ADDRESSES OF SELECTED PHILIPPINE PRESIDENTS,Marian Bea Gonowon; Joyce Anne Bandola; Joeprey Toledo,2024,ABELS,"Janessa Angustia M. Malaya, Maed",
illocutionary-speech-act-analysis-selected-songs-2024.pdf,ILLOCUTIONARY SPEECH ACT ANALYSIS OF SELECTED SONGS OF GLOC 9,Jessalyn B. Badinas; Nicole D. Capistrano; Ma. Angeline B. Villar,2024,ABELS,"Elsa B. Regalado, MATL",
selected-winning-poetry-69th-carlos-palanca-2024.pdf,SELECTED WINNING POETRY OF THE 69TH CARLOS PALANCA AWARDS: A STYLISTIC ANALYSIS,Krizza Mae S. Bucad; Mitz O. Mayor; Ailene S. Racines,2024,ABELS,"Marlon S. Pontillas, PhD",
corpus-based-pragmatic-analysis-internet-political-buzzwords-2024.pdf,A CORPUS-BASED PRAGMATIC ANALYSIS OF INTERNET POLITICAL BUZZWORDS FROM THE 2023 BARANGAY AND SANGGUNIANG KABATAAN ELECTIONS,Chelsea Dyanne Concepcion; Angelo H. Tumbado; Nica Lesly M. Villar,2024,ABELS,"Benedic V. Baluyot, MAEd",
anatomizing-taylor-swift-s-1989-taylor-2024.pdf,ANATOMIZING TAYLOR SWIFT’S ‘1989 (TAYLOR’S VERSION)’ ALBUM,Leizl V. Bagasbas; Sophia Ruby T. Cuadro; Earl Shaun Cartier V. Luares,2024,ABELS,"Dan Fereth B. Fajardo, MAEd",
red-pink-analyzing-political-shift-filipino-2024.pdf,FROM RED TO PINK: ANALYZING THE POLITICAL SHIFT OF A FILIPINO VOTER THROUGH POSITIONING ANALYSIS,Elizabeth Nicole O. Borja; Andrea Joy E. Gelit; Junnel A. Quanico,2024,ABELS,"Dr. Marlon S. Pontillas, PhD",
multimodal-analysis-safe-spaces-act-posters-2024.pdf,MULTIMODAL ANALYSIS OF THE SAFE SPACES ACT POSTERS ON 18-DAY CAMPAIGN TO END VIOLENCE AGAINST WOMEN (VAW),"Baloloy, Francia Joy S.; Ponteres, May Ann P.; Taburnal, Mary Chelsea O.",2024,ABELS,"Nel Francis Buena, MLL",
analyzing-gender-stereotypes-four-sisters-wedding-2024.pdf,ANALYZING GENDER STEREOTYPES IN THE ‘FOUR SISTERS AND A WEDDING’ MOVIE,Jhomel C. Embestro; Camille D. Regalado; Jhon Paul M. Verano,2024,ABELS,"Janessa Angustia M. Malaya, MAEd",
exploring-teaching-styles-intermediate-language-teachers-2024.pdf,EXPLORING TEACHING STYLES OF INTERMEDIATE LANGUAGE TEACHERS,"Daza, Christine Joy H.; Lasta, Reighn; Talangan, Honeymae M.",2024,ABELS,"Nel Francis B. Buena, MLL",
pragmatic-analysis-tiktok-users-comments-childfree-related-2025.pdf,A PRAGMATIC ANALYSIS OF TIKTOK USERS’ COMMENTS ON CHILDFREE-RELATED POSTS,Christine A. Nanale; Ma. Fatima R. Pili; Josef Jude C. Samantela,2025,ABELS,"Mr. Nel Francis Buena, MLL",
examining-illocutionary-acts-hunger-games-catching-2024.pdf,EXAMINING ILLOCUTIONARY ACTS IN ‘THE HUNGER GAMES: CATCHING FIRE (2013)’ MOVIE,"Embestro, Angelica D.; Laynesa, Justine D.; Niosco, Cristal Marie S.; Villagracia, Genny P.",2024,ABELS,"Janessa Angustia M. Malaya, MAEd",
ma-tomboy-po-ako-pa-bakla-2024.pdf,"“MA, TOMBOY PO AKO.” “PA, BAKLA PO AKO.”: A POSITIONING ANALYSIS OF FILIPINO HOMOSEXUAL EMERGING ADULTS ON PARENTAL REJECTION",Mark Angelo F. Awa; Jhim Christofel C. Barayoga; Joshua P. Magistrado,2024,ABELS,"Nel Francis B. Buena, MLL",
bicol-state-universities-college-websites-multimodal-2024.pdf,BICOL STATE UNIVERSITIES AND COLLEGE WEBSITES: A MULTIMODAL ANALYSIS,"Hallare, Hanna Mae B.; Odavar, Ginnielene N.; Tabornal, Mary Joy T.",2024,ABELS,"Elsa B. Regalado, MATL",
code-switching-employed-bicolano-vlog-content-creators-2024.pdf,CODE-SWITCHING EMPLOYED BY BICOLANO VLOG CONTENT CREATORS,Gemma P. Hernandez; Ma. Nicole Ann C. Parco; Dhiana Joy A. Priela,2024,ABELS,"Reu Amor A. Diga, Maeng",
